ATM_ID,SHORTNAM,CARDHOLD,FRAUD_TY,FRAUD,ISSUER_I,MAKE,MODEL,FACILITI,ATM_POSI,INSTITUT,POST_COD_Town,POST_COD_Region,Day of Week,Time of Day,Time of Day Band
"ATM_S64","CVBS","Card_S66","NOT FRAUDULENT",0,"134","NCR",5085.000000,"FF","Wall","LLDS","Coventry","West Midlands","1. Sunday","12","2. Morning (4am to midday)"
"ATM_S64","HAFX","Card_S67","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"914","NCR",5085.000000,"FF","Wall","LLDS","Coventry","West Midlands","4. Wednesday","0","1. Late at Night (11pm - 3am)"
"ATM_S64","BARC","Card_S68","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"354","NCR",5085.000000,"FF","Wall","LLDS","Coventry","West Midlands","4. Wednesday","0","1. Late at Night (11pm - 3am)"
"ATM_S69","WOOL","Card_S70","NOT FRAUDULENT",0,"112","NCR",5085.000000,"FF","Wall","LLDS","Coventry","West Midlands","1. Sunday","11","2. Morning (4am to midday)"
"ATM_S71","CVBS","Card_S72","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"134","NCR",5085.000000,"FF","Wall","LLDS","Coventry","West Midlands","4. Wednesday","0","1. Late at Night (11pm - 3am)"
"ATM_S73","HAFX","Card_S74","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"214","NCR",5085.000000,"FF","Wall","LLDS","Derby","East Midlands","5. Thursday","0","1. Late at Night (11pm - 3am)"
"ATM_S77","RBS","Card_S78","INCORRECT PIN",1,"148","NCR",5085.000000,"FF","Wall","LLDS","Derby","East Midlands","7. Saturday","10","2. Morning (4am to midday)"
"ATM_S79","COOP","Card_S80","NOT FRAUDULENT",0,"102","NCR",5085.000000,"FF","Wall","LLDS","Derby","East Midlands","4. Wednesday","22","4. Evening (6pm to 10pm)"
"ATM_S81","HAFX","Card_S82","INTERCEPT",1,"814","NCR",5085.000000,"FF","Wall","LLDS","Derby","East Midlands","5. Thursday","12","2. Morning (4am to midday)"
"ATM_S83","BARC","Card_S84","NOT FRAUDULENT",0,"954","NCR",5085.000000,"FF","Wall","LLDS","Plymouth","South West","3. Tuesday","20","4. Evening (6pm to 10pm)"
"ATM_S83","NWST","Card_S85","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"816","NCR",5085.000000,"FF","Wall","LLDS","Plymouth","South West","4. Wednesday","0","1. Late at Night (11pm - 3am)"
"ATM_S86","COOP","Card_S87","NOT FRAUDULENT",0,"102","NCR",5085.000000,"FF","Wall","LLDS","Plymouth","South West","2. Monday","13","3. Afternoon (1pm to 5pm)"
"ATM_S88","HAFX","Card_S89","INTERCEPT",1,"814","NCR",5685.000000,"FF","Wall","LLDS","Plymouth","South West","6. Friday","18","4. Evening (6pm to 10pm)"
"ATM_S88","ANPC","Card_S90","NOT FRAUDULENT",0,"706","NCR",5685.000000,"FF","Wall","LLDS","Plymouth","South West","7. Saturday","10","2. Morning (4am to midday)"
"ATM_S91","NWST","Card_S92","INCORRECT PIN",1,"716","NCR",5085.000000,"FF","Wall","LLDS","Truro","South West","7. Saturday","9","2. Morning (4am to midday)"
"ATM_S93","ALEI","Card_S94","NOT FRAUDULENT",0,"404","NCR",5085.000000,"FF","Wall","LLDS","Plymouth","South West","2. Monday","12","2. Morning (4am to midday)"
"ATM_S93","BARC","Card_S95","NOT FRAUDULENT",0,"A54","NCR",5085.000000,"FF","Wall","LLDS","Plymouth","South West","1. Sunday","10","2. Morning (4am to midday)"
"ATM_S96","ALEI","Card_S97","NOT FRAUDULENT",0,"404","NCR",5085.000000,"FF","Supermarket","LLDS","Exeter","South West","7. Saturday","9","2. Morning (4am to midday)"
"ATM_S96","NWST","Card_S98","NOT FRAUDULENT",0,"216","NCR",5085.000000,"FF","Supermarket","LLDS","Exeter","South West","1. Sunday","10","2. Morning (4am to midday)"
"ATM_S96","NWST","Card_S99","NOT FRAUDULENT",0,"216","NCR",5085.000000,"FF","Supermarket","LLDS","Exeter","South West","7. Saturday","20","4. Evening (6pm to 10pm)"
"ATM_S100","ALEI","Card_S101","NOT FRAUDULENT",0,"404","NCR",5085.000000,"FF","Wall","LLDS","Exeter","South West","1. Sunday","13","3. Afternoon (1pm to 5pm)"
"ATM_S102","HSBC","Card_S103","HIGH CONSECUTIVE BALANCES",1,"A56","NCR",5085.000000,"FF","Supermarket","LLDS","Exeter","South West","5. Thursday","13","3. Afternoon (1pm to 5pm)"
"ATM_S102","HSBC","Card_S104","HIGH CONSECUTIVE BALANCES",1,"456","NCR",5085.000000,"FF","Supermarket","LLDS","Exeter","South West","5. Thursday","13","3. Afternoon (1pm to 5pm)"
"ATM_S102","ALEI","Card_S105","HIGH CONSECUTIVE BALANCES",1,"404","NCR",5085.000000,"FF","Supermarket","LLDS","Exeter","South West","5. Thursday","13","3. Afternoon (1pm to 5pm)"
"ATM_S106","RBS","Card_S107","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"448","NCR",5085.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","4. Wednesday","0","1. Late at Night (11pm - 3am)"
"ATM_S108","BARC","Card_S109","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"554","NCR",5085.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","5. Thursday","0","1. Late at Night (11pm - 3am)"
"ATM_S108","AMEX","Card_S110","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"1KX","NCR",5085.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","4. Wednesday","0","1. Late at Night (11pm - 3am)"
"ATM_S108","HSBC","Card_S111","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"156","NCR",5085.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","1. Sunday","0","1. Late at Night (11pm - 3am)"
"ATM_S112","HAFX","Card_S113","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"A14","NCR",5685.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","1. Sunday","0","1. Late at Night (11pm - 3am)"
"ATM_S114","HAFX","Card_S115","NOT FRAUDULENT",0,"914","NCR",5685.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","7. Saturday","10","2. Morning (4am to midday)"
"ATM_S114","YBK","Card_S116","NOT FRAUDULENT",0,"530","NCR",5685.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","2. Monday","12","2. Morning (4am to midday)"
"ATM_S114","NWST","Card_S117","NOT FRAUDULENT",0,"216","NCR",5685.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","3. Tuesday","11","2. Morning (4am to midday)"
"ATM_S118","YBK","Card_S119","NOT FRAUDULENT",0,"530","NCR",5085.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","5. Thursday","9","2. Morning (4am to midday)"
"ATM_S118","BARC","Card_S120","NOT FRAUDULENT",0,"254","NCR",5085.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","2. Monday","15","3. Afternoon (1pm to 5pm)"
"ATM_S121","ALEI","Card_S122","INCORRECT PIN",1,"404","NCR",5070.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","5. Thursday","10","2. Morning (4am to midday)"
"ATM_S123","YBK","Card_S124","NOT FRAUDULENT",0,"530","NCR",5070.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","5. Thursday","11","2. Morning (4am to midday)"
"ATM_S125","HAFX","Card_S126","NOT FRAUDULENT",0,"914","NCR",5085.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","1. Sunday","15","3. Afternoon (1pm to 5pm)"
"ATM_S125","YBK","Card_S127","NOT FRAUDULENT",0,"630","NCR",5085.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","2. Monday","12","2. Morning (4am to midday)"
"ATM_S128","COOP","Card_S129","INTERCEPT",1,"102","NCR",5685.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","6. Friday","17","3. Afternoon (1pm to 5pm)"
"ATM_S128","HAFX","Card_S130","INTERCEPT",1,"214","NCR",5685.000000,"FF","Wall","LLDS","Hull","Yorkshire and Humberside","6. Friday","9","2. Morning (4am to midday)"
"ATM_S133","NBS","Card_S134","NOT FRAUDULENT",0,"900","NCR",5085.000000,"FF","Wall","LLDS","Doncaster","Yorkshire and Humberside","5. Thursday","7","2. Morning (4am to midday)"
"ATM_S135","NWST","Card_S136","NOT FRAUDULENT",0,"216","NCR",5085.000000,"FF","Wall","LLDS","Doncaster","Yorkshire and Humberside","1. Sunday","14","3. Afternoon (1pm to 5pm)"
"ATM_S135","HAFX","Card_S137","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"514","NCR",5085.000000,"FF","Wall","LLDS","Doncaster","Yorkshire and Humberside","5. Thursday","0","1. Late at Night (11pm - 3am)"
"ATM_S135","HAFX","Card_S138","NOT FRAUDULENT",0,"714","NCR",5085.000000,"FF","Wall","LLDS","Doncaster","Yorkshire and Humberside","3. Tuesday","7","2. Morning (4am to midday)"
"ATM_S139","YBK","Card_S140","NOT FRAUDULENT",0,"530","NCR",5085.000000,"FF","Wall","LLDS","Doncaster","Yorkshire and Humberside","5. Thursday","22","4. Evening (6pm to 10pm)"
"ATM_S141","YBK","Card_S142","NOT FRAUDULENT",0,"630","NCR",5085.000000,"FF","Wall","LLDS","Doncaster","Yorkshire and Humberside","4. Wednesday","15","3. Afternoon (1pm to 5pm)"
"ATM_S143","NBS","Card_S144","NOT FRAUDULENT",0,"900","NCR",5085.000000,"FF","Petrol Station","LLDS","Chelmsford","South East","3. Tuesday","10","2. Morning (4am to midday)"
"ATM_S143","NWST","Card_S145","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"816","NCR",5085.000000,"FF","Petrol Station","LLDS","Chelmsford","South East","6. Friday","0","1. Late at Night (11pm - 3am)"
"ATM_S143","NOPE","Card_S146","NOT FRAUDULENT",0,"1AX","NCR",5085.000000,"FF","Petrol Station","LLDS","Chelmsford","South East","6. Friday","9","2. Morning (4am to midday)"
"ATM_S147","BARC","Card_S148","NOT FRAUDULENT",0,"954","NCR",5685.000000,"FF","Wall","LLDS","London E","South East","5. Thursday","13","3. Afternoon (1pm to 5pm)"
"ATM_S149","NWST","Card_S150","NOT FRAUDULENT",0,"216","NCR",5085.000000,"FF","Wall","LLDS","Romford","South East","2. Monday","15","3. Afternoon (1pm to 5pm)"
"ATM_S149","NWST","Card_S151","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"816","NCR",5085.000000,"FF","Wall","LLDS","Romford","South East","7. Saturday","23","1. Late at Night (11pm - 3am)"
"ATM_S149","HSBC","Card_S152","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"A56","NCR",5085.000000,"FF","Wall","LLDS","Romford","South East","3. Tuesday","23","1. Late at Night (11pm - 3am)"
"ATM_S153","ANPC","Card_S154","NOT FRAUDULENT",0,"706","NCR",5885.000000,"FF","Wall","LLDS","Ilford","South East","2. Monday","14","3. Afternoon (1pm to 5pm)"
"ATM_S155","SAIN","Card_S156","INTERCEPT",1,"126","NCR",5070.000000,"FF","Wall","LLDS","Chelmsford","South East","5. Thursday","11","2. Morning (4am to midday)"
"ATM_S157","HAFX","Card_S158","NOT FRAUDULENT",0,"414","NCR",5685.000000,"FF","Petrol Station","LLDS","Southend-On-Sea","South East","1. Sunday","20","4. Evening (6pm to 10pm)"
"ATM_S159","BARC","Card_S160","NOT FRAUDULENT",0,"754","NCR",5085.000000,"FF","Wall","LLDS","Southend-On-Sea","South East","2. Monday","9","2. Morning (4am to midday)"
"ATM_S161","NBS","Card_S162","INTERCEPT",1,"900","NCR",5085.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","1. Sunday","11","2. Morning (4am to midday)"
"ATM_S163","HAFX","Card_S164","NOT FRAUDULENT",0,"414","NCR",5085.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","7. Saturday","21","4. Evening (6pm to 10pm)"
"ATM_S165","YBK","Card_S166","NOT FRAUDULENT",0,"530","NCR",5685.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","6. Friday","20","4. Evening (6pm to 10pm)"
"ATM_S165","BARC","Card_S167","NOT FRAUDULENT",0,"154","NCR",5685.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","7. Saturday","0","1. Late at Night (11pm - 3am)"
"ATM_S168","HSBC","Card_S169","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"H56","NCR",5085.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","7. Saturday","0","1. Late at Night (11pm - 3am)"
"ATM_S170","BARC","Card_S171","NOT FRAUDULENT",0,"254","NCR",5085.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","1. Sunday","13","3. Afternoon (1pm to 5pm)"
"ATM_S172","BARC","Card_S173","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"154","NCR",5885.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","1. Sunday","0","1. Late at Night (11pm - 3am)"
"ATM_S174","HAFX","Card_S175","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"614","NCR",5885.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","6. Friday","0","1. Late at Night (11pm - 3am)"
"ATM_S174","HAFX","Card_S176","NOT FRAUDULENT",0,"214","NCR",5885.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","5. Thursday","20","4. Evening (6pm to 10pm)"
"ATM_S177","BARC","Card_S178","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"354","NCR",5085.000000,"FF","Wall","LLDS","Leeds","Yorkshire and Humberside","6. Friday","0","1. Late at Night (11pm - 3am)"
"ATM_S179","ALEI","Card_S180","NOT FRAUDULENT",0,"404","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","2. Monday","20","4. Evening (6pm to 10pm)"
"ATM_S179","HSBC","Card_S181","NOT FRAUDULENT",0,"F56","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","3. Tuesday","22","4. Evening (6pm to 10pm)"
"ATM_S179","ALEI","Card_S182","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"404","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","5. Thursday","0","1. Late at Night (11pm - 3am)"
"ATM_S179","ALEI","Card_S183","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"404","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","5. Thursday","0","1. Late at Night (11pm - 3am)"
"ATM_S179","ANPC","Card_S184","NOT FRAUDULENT",0,"106","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","1. Sunday","14","3. Afternoon (1pm to 5pm)"
"ATM_S185","BARC","Card_S186","NOT FRAUDULENT",0,"354","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","3. Tuesday","20","4. Evening (6pm to 10pm)"
"ATM_S185","NWST","Card_S187","NOT FRAUDULENT",0,"216","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","7. Saturday","20","4. Evening (6pm to 10pm)"
"ATM_S191","HAFX","Card_S192","NOT FRAUDULENT",0,"814","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","1. Sunday","13","3. Afternoon (1pm to 5pm)"
"ATM_S191","NWST","Card_S193","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"216","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","5. Thursday","0","1. Late at Night (11pm - 3am)"
"ATM_S194","BARC","Card_S195","NOT FRAUDULENT",0,"254","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","7. Saturday","13","3. Afternoon (1pm to 5pm)"
"ATM_S196","HSBC","Card_S197","NOT FRAUDULENT",0,"356","NCR",5885.000000,"FF","Wall","LLDS","Leicester","East Midlands","7. Saturday","22","4. Evening (6pm to 10pm)"
"ATM_S198","ALEI","Card_S199","NOT FRAUDULENT",0,"404","NCR",5885.000000,"FF","Wall","LLDS","Leicester","East Midlands","6. Friday","11","2. Morning (4am to midday)"
"ATM_S200","NWST","Card_S201","NOT FRAUDULENT",0,"216","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","7. Saturday","10","2. Morning (4am to midday)"
"ATM_S202","ALEI","Card_S203","NOT FRAUDULENT",0,"404","NCR",5085.000000,"FF","Wall","LLDS","Leicester","East Midlands","1. Sunday","13","3. Afternoon (1pm to 5pm)"
"ATM_S204","NWST","Card_S205","INCORRECT PIN",1,"216","NCR",5685.000000,"FF","Wall","LLDS","Leicester","East Midlands","7. Saturday","11","2. Morning (4am to midday)"
"ATM_S204","BARC","Card_S206","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"A54","NCR",5685.000000,"FF","Wall","LLDS","Leicester","East Midlands","7. Saturday","23","1. Late at Night (11pm - 3am)"
"ATM_S207","BARC","Card_S208","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"754","NCR",5685.000000,"FF","Wall","LLDS","Leicester","East Midlands","1. Sunday","0","1. Late at Night (11pm - 3am)"
"ATM_S211","NOPE","Card_S212","NOT FRAUDULENT",0,"1AX","NCR",5685.000000,"FF","Wall","LLDS","Lincoln","East Midlands","3. Tuesday","9","2. Morning (4am to midday)"
"ATM_S213","BARC","Card_S214","NOT FRAUDULENT",0,"454","NCR",5685.000000,"FF","Wall","LLDS","Lincoln","East Midlands","3. Tuesday","14","3. Afternoon (1pm to 5pm)"
"ATM_S213","HSBC","Card_S215","NOT FRAUDULENT",0,"J56","NCR",5685.000000,"FF","Wall","LLDS","Lincoln","East Midlands","3. Tuesday","12","2. Morning (4am to midday)"
"ATM_S213","YBK","Card_S216","NOT FRAUDULENT",0,"630","NCR",5685.000000,"FF","Wall","LLDS","Lincoln","East Midlands","1. Sunday","12","2. Morning (4am to midday)"
"ATM_S213","RBS","Card_S217","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"648","NCR",5685.000000,"FF","Wall","LLDS","Lincoln","East Midlands","4. Wednesday","0","1. Late at Night (11pm - 3am)"
"ATM_S218","WOOL","Card_S219","HIGH CONSECUTIVE BALANCES",1,"112","NCR",5685.000000,"FF","Wall","LLDS","Liverpool","North West","4. Wednesday","13","3. Afternoon (1pm to 5pm)"
"ATM_S218","WOOL","Card_S220","HIGH CONSECUTIVE BALANCES",1,"112","NCR",5685.000000,"FF","Wall","LLDS","Liverpool","North West","4. Wednesday","13","3. Afternoon (1pm to 5pm)"
"ATM_S221","HSBC","Card_S222","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"E56","NCR",5685.000000,"FF","Wall","LLDS","Liverpool","North West","4. Wednesday","23","1. Late at Night (11pm - 3am)"
"ATM_S225","NWST","Card_S226","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"716","NCR",5685.000000,"FF","Wall","LLDS","Liverpool","North West","6. Friday","0","1. Late at Night (11pm - 3am)"
"ATM_S225","BARC","Card_S227","NOT FRAUDULENT",0,"154","NCR",5685.000000,"FF","Wall","LLDS","Liverpool","North West","5. Thursday","8","2. Morning (4am to midday)"
"ATM_S228","HSBC","Card_S229","NOT FRAUDULENT",0,"B56","NCR",5685.000000,"FF","Wall","LLDS","Liverpool","North West","3. Tuesday","16","3. Afternoon (1pm to 5pm)"
"ATM_S228","BARC","Card_S230","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"154","NCR",5685.000000,"FF","Wall","LLDS","Liverpool","North West","7. Saturday","1","1. Late at Night (11pm - 3am)"
